#Gobal average surface reflection of Earth
#mu     reflectance
0.3000  0.0858
0.3500  0.0868
0.4000  0.0896
0.4500  0.0936
0.5000  0.1004
0.5500  0.1073
0.6000  0.0948
0.6500  0.0857
0.7000  0.0799
0.7500  0.1207
0.8000  0.1373
0.8500  0.1392
0.9000  0.1305
0.9500  0.1247
1.0000  0.1184
1.1000  0.0991
1.2000  0.0856
1.3000  0.0780
1.4000  0.0428
1.5000  0.0672
1.6000  0.0748
1.7000  0.0702
1.8000  0.0514
1.9000  0.0415
2.0000  0.0571
2.1000  0.0537
2.2000  0.0452
2.3000  0.0401
2.4000  0.0354
2.5000  0.0311
2.6000  0.0285
2.8000  0.0252
3.0000  0.0232
3.5000  0.0202
4.0000  0.0182
4.5000  0.0169
5.0000  0.0152
5.5000  0.0222
6.0000  0.0218
6.5000  0.0221
7.0000  0.0225
7.5000  0.0216
8.0000  0.0275
8.5000  0.0335
9.0000  0.0361
9.5000  0.0328
10.0000  0.0171
10.5000  0.0143
11.0000  0.0139
11.5000  0.0135
12.0000  0.0125
12.5000  0.0125
13.0000  0.0130
13.5000  0.0202
14.0000  0.0218
14.5000  0.0230
15.0000  0.0234
15.5000  0.0231
16.0000  0.0235
16.5000  0.0235
17.0000  0.0245
17.5000  0.0249
18.0000  0.0326
18.5000  0.0318
19.0000  0.0314
19.5000  0.0234
20.0000  0.0220
21.0000  0.0206
22.0000  0.0202
23.0000  0.0198
24.0000  0.0122
25.0000  0.0122
